Champion,StartDate,EndDate,Duration,NumOfMatches,Category,Won,Lost,TotalDurationFrom,TotalDurationTo
tokyov,2006/09/30,2006/10/14 00:00:00,14,1,Ｊ２,kobe,kashiwa,461,475
kashiwa,2006/10/14,2006/10/18 00:00:00,4,1,Ｊ２,tokyov,ehime,338,342
ehime,2006/10/18,2006/11/23 00:00:00,36,5,Ｊ２,kashiwa,tosu,4,40
tosu,2006/11/23,2006/11/26 00:00:00,3,1,Ｊ２,ehime,yokohamafc,29,32
yokohamafc,2006/11/26,2007/03/03 00:00:00,97,2,Ｊ２,tosu,urawa,84,181
urawa,2007/03/03,2007/04/21 00:00:00,49,6,Ｊ１,yokohamafc,kawasakif,52,101
kawasakif,2007/04/21,2007/05/03 00:00:00,12,2,Ｊ１,urawa,yokohamafm,242,254
yokohamafm,2007/05/03,2007/05/12 00:00:00,9,3,Ｊ１,kawasakif,nagoya,161,170
nagoya,2007/05/12,2007/05/19 00:00:00,7,1,Ｊ１,yokohamafm,urawa,128,135
urawa,2007/05/19,2007/07/14 00:00:00,56,7,Ｊ１,nagoya,gosaka,101,157
gosaka,2007/07/14,2007/08/15 00:00:00,32,2,ＹＮＣ 決勝トーナメント,urawa,urawa,98,130
urawa,2007/08/15,2007/09/01 00:00:00,17,4,Ｊ１,gosaka,omiya,157,174
omiya,2007/09/01,2007/09/15 00:00:00,14,1,Ｊ１,urawa,iwata,198,212
iwata,2007/09/15,2007/10/20 00:00:00,35,4,Ｊ１,omiya,kashima,477,512
kashima,2007/10/20,2008/04/13 00:00:00,176,12,Ｊ１,iwata,urawa,502,678
urawa,2008/04/13,2008/05/17 00:00:00,34,8,Ｊ１,kashima,gosaka,174,208
gosaka,2008/05/17,2008/07/06 00:00:00,50,4,Ｊ１,urawa,kashiwa,130,180
kashiwa,2008/07/06,2008/07/12 00:00:00,6,1,Ｊ１,gosaka,nagoya,342,348
nagoya,2008/07/12,2008/07/17 00:00:00,5,1,Ｊ１,kashiwa,iwata,135,140
iwata,2008/07/17,2008/07/20 00:00:00,3,1,Ｊ１,nagoya,oita,512,515
oita,2008/07/20,2008/09/27 00:00:00,69,12,Ｊ１,iwata,yokohamafm,105,174
yokohamafm,2008/09/27,2008/11/08 00:00:00,42,4,Ｊ１,oita,kyoto,170,212
kyoto,2008/11/08,2008/11/23 00:00:00,15,1,Ｊ１,yokohamafm,nagoya,56,71
